,date,incidents,n_killed,n_injured,year
0,2013-01-01,3,2,10,2013
1,2013-01-05,1,4,0,2013
2,2013-01-07,2,6,2,2013
3,2013-01-19,1,5,0,2013
4,2013-01-21,2,0,9,2013
5,2013-01-23,2,2,9,2013
6,2013-01-25,1,1,3,2013
7,2013-01-26,3,3,11,2013
8,2013-02-02,1,0,5,2013
9,2013-02-03,1,1,3,2013
10,2013-02-07,1,0,4,2013
11,2013-02-09,1,0,4,2013
12,2013-02-11,2,4,6,2013
13,2013-02-12,1,4,1,2013
14,2013-02-19,1,4,3,2013
15,2013-02-21,1,1,3,2013
16,2013-02-22,1,0,4,2013
17,2013-02-23,1,0,4,2013
18,2013-02-24,1,0,8,2013
19,2013-03-02,1,1,3,2013
20,2013-03-03,2,2,6,2013
21,2013-03-04,1,1,3,2013
22,2013-03-05,1,1,3,2013
23,2013-03-07,1,2,2,2013
24,2013-03-10,1,0,5,2013
25,2013-03-11,1,0,13,2013
26,2013-03-13,2,8,4,2013
27,2013-03-14,1,0,4,2013
28,2013-03-16,1,0,7,2013
29,2013-03-17,2,2,8,2013
30,2013-03-21,2,1,10,2013
31,2013-03-22,1,1,3,2013
32,2013-03-30,1,3,2,2013
33,2013-03-31,1,3,2,2013
34,2013-04-06,1,1,4,2013
35,2013-04-07,2,2,6,2013
36,2013-04-09,1,1,3,2013
37,2013-04-10,1,0,4,2013
38,2013-04-14,2,3,8,2013
39,2013-04-18,1,4,0,2013
40,2013-04-21,1,5,0,2013
41,2013-04-22,2,0,9,2013
42,2013-04-24,1,6,1,2013
43,2013-04-25,1,0,4,2013
44,2013-04-27,1,1,3,2013
45,2013-04-28,3,3,10,2013
46,2013-05-02,2,1,5,2013
47,2013-05-04,1,0,4,2013
48,2013-05-05,1,0,5,2013
49,2013-05-06,1,0,4,2013
50,2013-05-10,1,3,1,2013
51,2013-05-11,3,5,8,2013
52,2013-05-12,2,0,24,2013
53,2013-05-13,1,0,4,2013
54,2013-05-14,1,0,2,2013
55,2013-05-15,1,1,4,2013
56,2013-05-16,1,0,4,2013
57,2013-05-18,2,1,4,2013
58,2013-05-19,2,2,6,2013
59,2013-05-20,1,0,4,2013
60,2013-05-23,1,2,2,2013
61,2013-05-24,1,2,2,2013
62,2013-05-25,2,2,7,2013
63,2013-05-28,1,1,3,2013
64,2013-05-29,1,0,4,2013
65,2013-05-31,1,0,4,2013
66,2013-06-01,2,2,6,2013
67,2013-06-02,3,0,18,2013
68,2013-06-07,1,6,1,2013
69,2013-06-09,1,0,4,2013
70,2013-06-10,2,1,10,2013
71,2013-06-14,1,0,5,2013
72,2013-06-15,3,2,10,2013
73,2013-06-16,1,1,3,2013
74,2013-06-21,3,1,14,2013
75,2013-06-22,2,1,8,2013
76,2013-06-23,5,4,23,2013
77,2013-06-24,1,1,3,2013
78,2013-06-25,1,1,4,2013
79,2013-06-27,1,2,2,2013
80,2013-06-28,1,0,6,2013
81,2013-06-29,1,3,1,2013
82,2013-06-30,2,0,13,2013
83,2013-07-01,2,4,1,2013
84,2013-07-02,1,1,0,2013
85,2013-07-04,2,1,10,2013
86,2013-07-06,2,1,7,2013
87,2013-07-07,4,2,16,2013
88,2013-07-09,2,2,6,2013
89,2013-07-11,1,2,2,2013
90,2013-07-12,2,3,5,2013
91,2013-07-13,4,2,15,2013
92,2013-07-14,2,1,9,2013
93,2013-07-17,1,1,3,2013
94,2013-07-19,2,0,8,2013
95,2013-07-20,1,0,5,2013
96,2013-07-21,1,0,4,2013
97,2013-07-24,1,0,4,2013
98,2013-07-25,1,0,4,2013
99,2013-07-26,2,11,0,2013
100,2013-07-28,1,0,4,2013
101,2013-07-29,1,0,4,2013
102,2013-07-30,1,0,4,2013
103,2013-08-02,2,2,7,2013
104,2013-08-03,1,0,5,2013
105,2013-08-04,2,4,7,2013
106,2013-08-05,1,1,0,2013
107,2013-08-06,2,3,8,2013
108,2013-08-07,1,4,4,2013
109,2013-08-09,1,2,2,2013
110,2013-08-10,1,0,4,2013
111,2013-08-11,2,1,8,2013
112,2013-08-13,1,0,4,2013
113,2013-08-14,1,4,0,2013
114,2013-08-17,2,1,4,2013
115,2013-08-18,4,2,15,2013
116,2013-08-19,1,1,4,2013
117,2013-08-20,1,2,2,2013
118,2013-08-23,1,1,0,2013
119,2013-08-25,4,7,10,2013
120,2013-09-05,1,0,4,2013
121,2013-09-07,2,3,7,2013
122,2013-09-10,1,1,4,2013
123,2013-09-11,1,0,4,2013
124,2013-09-12,2,5,3,2013
125,2013-09-14,1,0,4,2013
126,2013-09-15,3,3,12,2013
127,2013-09-16,1,11,3,2013
128,2013-09-17,4,2,16,2013
129,2013-09-18,1,1,4,2013
130,2013-09-19,1,0,12,2013
131,2013-09-20,2,7,2,2013
132,2013-09-21,1,0,4,2013
133,2013-09-22,3,4,13,2013
134,2013-09-24,1,0,6,2013
135,2013-09-25,1,0,4,2013
136,2013-09-27,1,0,4,2013
137,2013-09-29,1,0,4,2013
138,2013-10-02,1,0,4,2013
139,2013-10-05,3,2,17,2013
140,2013-10-06,2,1,9,2013
141,2013-10-07,1,1,0,2013
142,2013-10-09,1,4,0,2013
143,2013-10-12,1,0,5,2013
144,2013-10-13,2,1,8,2013
145,2013-10-20,2,2,6,2013
146,2013-10-21,1,2,5,2013
147,2013-10-26,3,6,9,2013
148,2013-10-27,4,2,18,2013
149,2013-10-29,1,5,0,2013
150,2013-11-02,1,1,3,2013
151,2013-11-03,2,1,8,2013
152,2013-11-05,2,4,4,2013
153,2013-11-07,1,3,7,2013
154,2013-11-09,1,2,16,2013
155,2013-11-10,2,2,6,2013
156,2013-11-11,1,4,1,2013
157,2013-11-15,1,1,3,2013
158,2013-11-20,1,3,2,2013
159,2013-11-21,1,0,4,2013
160,2013-11-22,2,0,2,2013
161,2013-11-23,1,4,1,2013
162,2013-11-25,2,1,10,2013
163,2013-11-28,1,0,4,2013
164,2013-11-29,2,0,8,2013
165,2013-11-30,2,0,9,2013
166,2013-12-01,3,7,2,2013
167,2013-12-07,2,1,4,2013
168,2013-12-14,1,0,4,2013
169,2013-12-15,2,1,8,2013
170,2013-12-21,2,1,8,2013
171,2013-12-22,1,1,3,2013
172,2013-12-25,3,5,5,2013
173,2013-12-26,2,5,9,2013
174,2013-12-28,1,3,5,2013
175,2013-12-29,2,1,2,2013
176,2013-12-31,3,4,7,2013
177,2014-01-01,216,50,132,2013
178,2014-01-02,119,29,48,2013
179,2014-01-03,124,37,59,2013
180,2014-01-04,140,37,73,2013
181,2014-01-05,130,31,66,2013
182,2014-01-06,100,29,25,2013
183,2014-01-07,115,25,39,2013
184,2014-01-08,149,27,58,2013
185,2014-01-09,134,32,54,2013
186,2014-01-10,129,18,48,2013
187,2014-01-11,143,34,79,2013
188,2014-01-12,147,36,83,2013
189,2014-01-13,162,33,76,2013
190,2014-01-14,158,42,68,2013
191,2014-01-15,181,43,60,2013
192,2014-01-16,158,46,58,2013
193,2014-01-17,152,28,75,2013
194,2014-01-18,147,34,70,2013
195,2014-01-19,139,38,80,2013
196,2014-01-20,172,55,72,2013
197,2014-01-21,125,34,48,2013
198,2014-01-22,134,32,54,2013
199,2014-01-23,117,34,25,2013
200,2014-01-24,115,23,42,2013
201,2014-01-25,162,44,85,2013
202,2014-01-26,152,39,61,2013
203,2014-01-27,151,40,48,2013
204,2014-01-28,124,30,60,2013
205,2014-01-29,120,22,33,2013
206,2014-01-30,132,28,36,2013
207,2014-01-31,148,40,60,2013
208,2014-02-01,149,45,56,2013
209,2014-02-02,138,40,64,2013
210,2014-02-03,143,37,41,2013
211,2014-02-04,113,29,43,2013
212,2014-02-05,104,27,30,2013
213,2014-02-06,141,32,49,2013
214,2014-02-07,98,31,37,2013
215,2014-02-08,99,16,41,2013
216,2014-02-09,111,27,49,2013
217,2014-02-10,115,34,53,2013
218,2014-02-11,82,23,20,2013
219,2014-02-12,117,31,36,2013
220,2014-02-13,103,32,40,2013
221,2014-02-14,101,23,25,2013
222,2014-02-15,85,28,36,2013
223,2014-02-16,112,44,75,2013
224,2014-02-17,90,25,42,2013
225,2014-02-18,101,28,43,2013
226,2014-02-19,118,32,53,2013
227,2014-02-20,99,31,51,2013
228,2014-02-21,110,30,53,2013
229,2014-02-22,105,34,70,2013
230,2014-02-23,126,44,55,2013
231,2014-02-24,123,25,46,2013
232,2014-02-25,104,30,39,2013
233,2014-02-26,80,25,21,2013
234,2014-02-27,101,20,38,2013
235,2014-02-28,77,22,17,2013
236,2014-03-01,128,53,68,2013
237,2014-03-02,87,15,44,2013
